,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
65,AVY,2017-03-08,73.16458129882812,0.0260935383968703,0.1169949821571125,0.2025999133374467,0.8544773478246125,53.11,0.95,114.35
66,AVY,2017-03-22,72.19479370117188,0.0030340454683624,0.1102463060649842,0.1502004836638791,0.9090925248756496,50.64,0.93,111.16
67,AVY,2017-07-12,85.7422866821289,0.0747162927838509,0.1354182728283171,0.2498560959906891,0.8126217132229206,47.74,0.88,113.16
68,AVY,2017-07-26,84.93286895751953,0.0658768194348508,0.1311231225278435,0.2587590330828306,0.8059742427346688,50.97,0.85,111.17
69,AVY,2017-08-09,85.4387435913086,0.0391370259191459,0.1172751874942772,0.2012159911739003,0.932816069966253,52.7,0.85,110.08
70,EEFT,2016-11-02,78.26000213623047,-0.0135694283773249,0.0396661457439494,-0.0069947578148193,0.7501786411439845,46.86,0.9,103.31
71,EEFT,2016-11-16,76.1500015258789,-0.1102815055403269,-0.0263603120095871,-0.0465535260035604,0.7918974194307725,46.63,0.94,109.08
72,EEFT,2016-11-30,71.72000122070312,-0.0709580906729969,-0.0319906647900899,-0.0364439280693415,0.8070504004140111,50.47,0.94,114.47
73,EEFT,2016-12-14,73.13999938964844,-0.0426137629042473,-0.0584695721750671,-0.000549505168798,0.8500206975047603,53.9,0.95,117.05
74,EEFT,2016-12-28,72.33000183105469,-0.050009116350829,-0.1104480876930637,0.0016975754936584,0.87222264607003,56.22,0.96,117.25
75,GOOGL,2008-12-31,153.97897338867188,0.0953504850887259,-0.3123930318748679,-0.8366306573693111,0.4966003147814724,45.59,0.72,90.95
76,GOOGL,2009-01-14,150.63563537597656,0.0310519809264545,-0.1066164255388939,-0.7175296768412709,0.5094041790839234,45.08,0.76,89.16
77,GOOGL,2009-01-28,174.50950622558594,0.0640722235295531,-0.0920224960804571,-0.5454644237765659,0.4967674528267295,44.9,0.76,90.5
78,GOOGL,2009-02-11,179.19920349121094,0.121703229731315,0.0673056796317876,-0.3509461650546935,0.520857993311206,44.28,0.78,90.33
79,GOOGL,2016-01-13,719.5700073242188,-0.0414702254641548,0.092771766294406,0.383863961080271,0.6833633505260285,30.31,0.92,117.69
80,GOOGL,2016-01-27,717.5800170898438,-0.0372764211818626,0.0413062807534445,0.3273622198520395,0.7022448692280052,33.1,0.92,118.67
81,GOOGL,2016-02-10,706.8499755859375,-0.0518908626984575,-0.0510283554321678,0.3003219173796627,0.7118977413596445,30.84,0.89,113.34
82,GOOGL,2016-02-24,720.9000244140625,-0.0090271931642633,-0.0545098850641593,0.2875280238123198,0.7188100499992774,34.41,0.91,112.19
83,GOOGL,2016-03-09,725.4099731445312,-0.0061717888502736,-0.0630277646502969,0.2382393819379758,0.7041990274860024,41.07,0.91,113.34
84,GOOGL,2016-03-23,757.5599975585938,0.0474371386673178,-0.0106114353278006,0.2969101297071613,0.7313242363754904,40.47,0.89,112.38
85,GOOGL,2016-04-06,768.0700073242188,0.0415351921736756,-0.0065582772478905,0.3287390676247964,0.7536264216586788,39.84,0.88,109.8
86,GOOGL,2016-04-20,774.9199829101562,0.0377550970840085,0.0747970047831758,0.355566822223219,0.7618430193161558,45.8,0.89,109.84
87,GOOGL,2016-05-04,711.3699951171875,-0.0725860395430351,-0.049670632215017,0.2372566183387934,0.6154680036249123,44.62,0.87,107.02
88,GOOGL,2016-05-18,721.780029296875,-0.0587925620880032,0.0140782405935638,0.291488107368363,0.8254233200502716,48.93,0.89,110.19
89,GOOGL,2016-06-01,748.4600219726562,0.0152830477574601,0.0123982785287319,0.3021619554359631,0.8072434180725815,49.72,0.89,109.53
90,GOOGL,2016-06-15,732.1900024414062,0.0064900215099214,0.0034766024923027,0.3021997265687061,0.8165144564353517,48.97,0.89,106.02
